Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2006,2.3,Haryana,Wheat,Ton th,8857.0
"Annual, Ending mar Of Each Year", 3-2007,2.38,Haryana,Wheat,Ton th,10055.0
"Annual, Ending mar Of Each Year", 3-2008,2.46,Haryana,Wheat,Ton th,10236.0
"Annual, Ending mar Of Each Year", 3-2009,2.46,Haryana,Wheat,Ton th,10808.2
"Annual, Ending mar Of Each Year", 3-2010,2.492,Haryana,Wheat,Ton th,10500.0
"Annual, Ending mar Of Each Year", 3-2011,2.515,Haryana,Wheat,Ton th,11630.0
"Annual, Ending mar Of Each Year", 3-2012,2.52,Haryana,Wheat,Ton th,12690.0
"Annual, Ending mar Of Each Year", 3-2013,2.5,Haryana,Wheat,Ton th,11120.0
"Annual, Ending mar Of Each Year", 3-2005,0.36,HimachalPradesh,Wheat,Ton th,684.0
"Annual, Ending mar Of Each Year", 3-2006,0.36,HimachalPradesh,Wheat,Ton th,679.0
"Annual, Ending mar Of Each Year", 3-2007,0.36,HimachalPradesh,Wheat,Ton th,501.6
"Annual, Ending mar Of Each Year", 3-2008,0.37,HimachalPradesh,Wheat,Ton th,504.4
"Annual, Ending mar Of Each Year", 3-2009,0.36,HimachalPradesh,Wheat,Ton th,547.3
"Annual, Ending mar Of Each Year", 3-2010,0.3525,HimachalPradesh,Wheat,Ton th,327.1
"Annual, Ending mar Of Each Year", 3-2011,0.357,HimachalPradesh,Wheat,Ton th,547.0
"Annual, Ending mar Of Each Year", 3-2012,0.36,HimachalPradesh,Wheat,Ton th,600.0
"Annual, Ending mar Of Each Year", 3-2013,0.36,HimachalPradesh,Wheat,Ton th,540.0
"Annual, Ending mar Of Each Year", 3-2005,0.25,JammuandKashmir,Wheat,Ton th,474.4
"Annual, Ending mar Of Each Year", 3-2006,0.25,JammuandKashmir,Wheat,Ton th,444.0
"Annual, Ending mar Of Each Year", 3-2007,0.26,JammuandKashmir,Wheat,Ton th,492.2
"Annual, Ending mar Of Each Year", 3-2008,0.28,JammuandKashmir,Wheat,Ton th,495.9
"Annual, Ending mar Of Each Year", 3-2009,0.28,JammuandKashmir,Wheat,Ton th,483.6
"Annual, Ending mar Of Each Year", 3-2010,0.2889,JammuandKashmir,Wheat,Ton th,289.9
"Annual, Ending mar Of Each Year", 3-2011,0.291,JammuandKashmir,Wheat,Ton th,446.0
"Annual, Ending mar Of Each Year", 3-2012,0.3,JammuandKashmir,Wheat,Ton th,500.0
"Annual, Ending mar Of Each Year", 3-2013,0.3,JammuandKashmir,Wheat,Ton th,420.0
"Annual, Ending mar Of Each Year", 3-2005,0.06,Jharkhand,Wheat,Ton th,150.0
"Annual, Ending mar Of Each Year", 3-2006,0.06,Jharkhand,Wheat,Ton th,77.7
"Annual, Ending mar Of Each Year", 3-2007,0.08,Jharkhand,Wheat,Ton th,128.9
"Annual, Ending mar Of Each Year", 3-2008,0.09,Jharkhand,Wheat,Ton th,139.9
"Annual, Ending mar Of Each Year", 3-2009,0.1,Jharkhand,Wheat,Ton th,153.9
"Annual, Ending mar Of Each Year", 3-2010,0.0997,Jharkhand,Wheat,Ton th,173.2
"Annual, Ending mar Of Each Year", 3-2011,0.096,Jharkhand,Wheat,Ton th,158.0
"Annual, Ending mar Of Each Year", 3-2012,0.16,Jharkhand,Wheat,Ton th,300.0
"Annual, Ending mar Of Each Year", 3-2013,0.16,Jharkhand,Wheat,Ton th,270.0
